Student number,Assignment 1,Assignment 2,Assignment 3,Assignment 4,Assignment 5,Assignment 6,Assignment 7,Assignment 8,Test 1,Test 2,Test 3,Test 4
31738648,7,8,8,4,5,,7,8,15,13,13,21
31778364,10,10,11,6,7,12,10,9,25,15,20,24
31780930,5,,10,5,6,12,9,8,,17,17,
31798829,8,10,11,8,6,13,6,,23,19,24,32
31731376,9,10,,5,7,12,11,11,18,18,18,32
31770533,10,11,12,7,7,11,11,10,26,26,26,38
31784615,8,11,11,5,,10,7,,20,,17,26
31758088,11,,,7,7,14,10,11,,21,27,32
31754201,,12,13,6,6,13,10,9,,19,24,28
31794807,,14,,5,6,12,8,,20,15,15,30
31784984,4,4,5,2,3,8,3,6,13,5,14,
31784860,,9,,,5,11,7,8,23,18,21,24
31702376,8,14,9,4,5,13,11,8,23,19,19,29
31733417,11,13,13,7,7,14,9,11,22,21,23,33
31773311,9,12,12,6,6,12,9,9,21,19,22,28
31731171,11,16,14,7,7,,10,10,23,19,24,33
31742203,,15,14,7,7,14,11,12,28,25,27,33
31714153,11,12,13,7,7,12,11,11,24,19,16,26
31731090,10,,13,7,7,13,9,9,24,21,25,27
31780385,6,,10,5,5,9,8,7,16,14,17,20
31797547,,8,8,4,5,9,7,,15,11,14,18
31743358,8,11,11,5,5,11,9,8,20,17,20,26
31786278,,15,10,5,4,10,10,9,27,12,15,
31798322,7,10,12,6,5,9,,8,,,19,24
31767508,5,7,9,5,4,8,,6,16,11,,
31766110,8,,13,6,4,8,,9,,14,20,26
31720927,,10,14,6,6,11,,8,13,15,18,17
31760465,8,11,15,5,6,14,8,8,18,22,20,27
31786723,,13,14,6,7,13,11,,27,21,24,
31752039,8,,10,6,,11,9,8,19,,19,27
31765572,9,12,14,5,6,12,9,9,22,19,21,28
31721869,9,13,13,7,6,13,9,9,21,18,19,25
31732992,11,12,12,7,,13,7,7,,18,,28
31720889,7,,6,2,4,10,5,7,17,22,24,17
31794777,7,10,10,5,5,9,8,8,17,14,19,27
31712584,,14,,8,8,13,10,10,26,18,,33
31765882,10,12,12,,,11,9,8,22,17,,28
31758959,6,8,8,4,4,7,,5,13,12,,17
31709567,10,11,14,6,6,11,10,9,20,19,25,31
31783627,,14,12,,6,12,10,10,24,15,24,29
31739900,10,,12,6,7,14,10,10,,20,25,30
31775349,8,,11,6,6,12,9,8,21,16,,25
31768679,13,14,16,8,8,15,13,,,22,27,39
31788904,12,14,15,7,7,,10,10,24,18,28,23
31713076,7,7,14,,6,9,8,6,17,,19,31
31725783,10,13,12,,6,9,9,9,17,15,19,26
31762468,5,8,6,4,3,7,4,5,,9,14,
31784542,7,10,,5,6,9,10,6,18,12,21,21
31792502,6,6,7,7,7,11,8,5,16,18,24,19
31782450,,11,11,5,5,11,8,8,19,16,19,24
31715907,12,15,17,7,8,17,12,11,29,27,27,36
31752659,14,16,17,8,8,17,,11,28,25,31,42
31776949,12,13,13,9,8,18,,,26,,28,33
31727646,8,11,11,5,5,11,8,8,,,18,23
31724582,9,10,,,,9,8,5,17,12,14,18
31718434,9,12,,7,6,13,9,9,26,17,26,26
31737048,10,14,,8,7,15,9,9,20,17,20,
31745997,8,12,7,5,5,9,7,8,,,16,22
31746764,11,16,15,7,,15,9,,25,14,22,39
31790399,11,12,14,7,8,15,9,8,17,,,
31752772,11,11,10,6,6,13,10,10,21,21,,
31779875,8,9,11,5,5,9,8,7,16,13,19,20
31770347,11,11,12,5,5,11,7,8,20,16,20,24
31789811,7,7,8,5,,9,7,8,11,21,10,
31732771,9,12,14,,7,16,11,,,21,28,34
31755720,9,17,15,7,6,14,9,,24,,26,33
31749054,12,14,17,3,6,7,8,9,21,,21,
31780849,4,8,6,5,6,,,,11,11,14,20
31773613,9,15,13,5,7,,9,9,22,16,22,
31706420,7,12,11,,6,10,9,7,20,15,,27
31799906,12,15,15,7,7,18,11,12,34,28,31,32
31717063,12,15,15,6,7,14,11,11,29,24,21,31
31709109,,,18,9,9,18,,13,31,26,32,40
31740626,6,9,8,5,5,8,7,6,16,13,16,21
31713068,7,9,9,5,4,8,7,6,14,14,17,22
31717756,9,13,14,6,6,13,,9,23,17,20,29
31745709,7,9,10,6,6,10,9,5,24,20,22,25
31752616,,12,6,2,,3,6,5,11,13,,24
31752845,10,13,12,8,5,14,9,9,21,,21,24
31740359,15,,16,7,,17,11,12,26,27,23,32
31730892,4,6,6,,2,6,4,,9,9,9,10
31702295,,15,11,,6,13,,10,22,18,18,32
31710794,7,,14,6,4,13,10,9,20,8,27,26
31777627,11,14,12,8,8,,11,9,27,22,23,26
31791107,,12,13,5,6,13,10,8,21,22,23,28
31714447,,13,14,8,8,15,9,10,24,26,21,27
31728480,7,11,6,5,5,8,8,8,13,,18,17
31704689,5,6,,,4,9,5,7,18,10,,18
31728057,9,12,12,6,6,12,9,9,21,19,20,28
31743196,7,10,9,5,5,10,9,7,17,15,15,
31764460,7,10,11,5,6,,7,7,,12,13,25
31798667,8,12,9,6,6,12,6,5,19,14,14,19
31745930,7,11,8,4,3,8,5,,13,13,13,22
31772854,,6,,0,3,8,,8,12,8,11,17
31793789,4,,6,3,4,5,3,,7,7,,12
31799380,11,,11,7,6,13,10,10,26,20,28,25
31762460,7,10,11,5,,12,7,7,,9,13,25
31770525,11,14,11,8,7,13,11,11,23,,,
31779522,5,10,10,4,3,,6,7,14,,12,22
31751334,1,6,6,2,2,,,5,8,9,9,12
31783171,10,14,13,7,7,13,11,9,23,22,24,30
31729932,9,10,,7,6,16,11,10,21,23,,33
31794947,2,9,4,2,,9,5,5,9,4,5,
31765122,9,12,12,7,7,12,10,10,,20,,28
31795250,6,9,9,4,4,8,7,7,15,13,14,17
31768261,6,9,9,5,4,9,8,8,18,14,17,
31756484,2,5,3,2,1,8,,3,12,7,9,8
31731058,10,13,15,7,7,15,9,13,28,24,31,31
31779212,6,9,,,4,8,5,6,14,11,14,
31756832,6,9,9,5,5,10,7,8,,13,18,19
31765491,5,6,7,3,4,7,,5,11,11,12,16
31740456,9,16,18,10,7,13,13,11,22,19,28,40
31704379,6,,10,5,5,8,8,8,21,12,18,21
31760244,6,7,7,4,4,8,5,6,13,11,14,
31772358,12,16,15,8,8,16,,12,26,,27,34
31717993,7,13,,6,6,15,11,11,,14,,36
31715028,5,6,10,4,4,8,5,7,16,11,16,21
31746004,7,,10,5,7,8,7,9,,,17,18
31763890,8,11,12,5,5,10,8,8,19,15,21,29
31745784,12,17,19,8,10,15,14,15,35,28,35,37
31702996,5,13,13,6,6,,11,10,24,17,28,20
31796281,13,15,19,8,,,14,13,,24,23,36
31779867,9,11,12,6,5,9,9,9,22,18,22,
31720544,9,14,12,6,7,11,5,6,14,18,12,21
31792464,9,10,12,6,7,14,8,8,,14,19,21
31727409,6,8,7,4,4,7,5,,10,12,13,15
31749437,9,10,10,4,4,10,7,8,23,13,16,22
31745326,,12,12,6,6,12,,8,22,,18,30
31727557,7,11,10,5,6,11,9,7,18,18,20,23
31729371,6,,8,,,8,5,6,10,8,13,15
31705472,8,11,11,7,5,12,9,,,14,20,25
31753124,11,,12,7,6,16,12,7,24,22,24,27
31725945,7,14,14,6,7,15,9,8,18,21,21,33
31733212,8,10,9,5,,,7,7,14,14,,22
31723837,7,8,12,3,6,9,4,6,10,13,20,25
31749887,9,12,15,6,7,13,9,10,21,,23,30
31729037,13,,15,9,8,17,12,14,29,22,28,
31770870,10,13,14,7,4,14,10,9,20,24,23,24
31787657,10,15,15,7,8,15,13,,25,21,29,34
31748360,8,10,14,7,4,13,9,8,30,23,20,26
31738885,10,14,14,6,7,13,10,,24,19,,30
31769799,9,11,13,6,6,12,8,9,17,19,17,34
31797900,12,15,15,,8,14,10,,26,20,26,
31780760,7,15,13,7,7,12,10,12,,,26,
31784569,6,8,8,4,4,8,6,6,,12,14,17
31786863,7,9,11,,6,11,9,8,,16,19,25
31721524,3,4,3,,2,4,2,3,6,4,6,7
31764991,6,8,8,4,4,9,6,6,17,13,15,
31721640,7,,7,,3,8,7,5,14,9,12,19
31761852,15,,20,9,10,17,14,14,35,28,35,45
31727573,11,15,13,7,8,18,11,13,,,24,36
31706002,11,15,16,7,,16,11,,29,25,24,33
31771920,9,13,12,6,6,13,9,,,17,,26
31750508,9,11,14,6,5,14,,12,23,27,21,36
31781144,4,5,10,6,6,8,9,6,23,16,18,24
31739628,1,5,4,2,2,1,4,1,5,3,0,12
31772765,9,13,,5,,,8,8,19,15,18,35
31775594,6,,13,4,,12,10,8,19,,23,28
31763251,7,9,12,,4,8,9,7,19,17,22,21
31715020,8,5,8,4,5,7,4,5,19,8,22,19
31788378,,16,13,,,14,11,10,25,21,26,32
31716199,11,13,11,6,4,11,8,10,22,22,27,19
31704948,9,,11,,5,11,,7,18,18,16,22
31722121,10,15,10,,7,12,11,10,22,,23,26
31775659,9,12,13,6,,12,9,8,21,18,22,27
31720560,,15,15,,6,,9,9,24,24,27,30
31716911,,6,10,5,,12,7,5,18,14,19,27
31726321,9,13,15,6,7,,,10,23,19,21,27
31720277,10,11,11,7,,12,8,10,22,17,21,20
31725546,,12,,5,5,10,6,8,16,,20,19
31769926,11,14,14,7,7,13,10,11,25,22,24,32
31756476,11,13,10,6,6,14,9,10,19,18,21,24
31741177,7,10,10,6,,9,,7,18,11,11,15
31720800,7,9,,,5,,6,7,16,14,16,21
31730736,10,14,15,7,,16,10,11,26,20,26,29
31775535,4,5,5,4,3,7,5,4,9,12,11,15
31785352,10,9,11,6,5,16,,10,23,,,38
31794882,10,10,11,,5,,8,8,23,17,22,
31748562,9,11,12,6,6,11,,9,,16,,25
31770460,5,,6,3,2,5,3,5,9,7,9,
31713904,,6,9,7,6,11,6,6,18,16,22,22
31757553,6,,6,3,5,,,5,9,17,15,19
31728774,9,12,11,6,6,13,11,9,21,19,24,29
31769276,7,10,,4,5,8,6,9,22,13,13,16
31746969,8,,11,7,6,8,,9,22,16,17,29
31765440,8,9,12,5,4,12,9,7,19,15,22,21
31788850,6,6,10,5,3,10,8,6,22,11,9,20
31777791,5,3,4,4,4,10,6,7,16,12,7,19
31784960,5,6,7,3,3,,4,5,13,,11,14
31703321,10,14,8,,7,,7,9,20,18,16,
31777457,7,,9,4,3,9,5,6,15,12,16,
31767133,10,9,,8,7,14,9,11,31,19,28,31
31789684,9,12,10,6,6,,9,9,,,25,27
31714830,3,,9,4,4,6,6,4,14,15,,19
31798942,,14,,7,,12,10,11,25,23,25,28
31760961,10,15,14,6,6,12,8,10,23,19,23,25
31713556,9,13,14,6,7,13,11,9,25,,27,31
31716539,14,19,,9,10,,14,14,34,29,,41
31701485,8,13,11,5,,8,,7,17,13,15,21
31785174,8,9,10,4,4,7,7,10,23,18,19,19
31736939,7,9,,4,,9,7,,16,13,15,20
31799070,,12,10,6,6,,9,10,22,18,20,29
31786251,5,7,7,5,4,4,1,2,4,14,8,1
31700233,8,9,12,6,5,14,,,18,,19,23
31716598,9,11,12,6,5,12,12,8,23,,24,27
31795536,8,,10,3,5,10,5,5,14,,11,
31765068,5,13,7,5,5,9,6,6,20,19,17,23
31764908,10,13,12,7,6,13,9,9,26,19,24,27
31764355,14,18,15,8,9,17,14,12,28,25,33,37
31738915,9,11,12,5,6,12,9,8,19,18,19,23
31703690,8,13,12,,6,10,9,10,,,18,25
31744160,10,13,12,6,7,13,8,7,18,20,24,
31719031,11,14,,7,7,15,11,11,23,23,25,32
31765505,8,,12,6,7,,9,9,20,,19,22
31706940,5,10,9,4,4,10,7,6,19,11,17,24
31706444,4,8,8,4,6,15,5,6,15,,,18
31757863,7,12,11,7,,11,7,9,9,18,19,27
31790232,,7,9,4,6,10,,,17,14,18,20
31703798,11,15,,,5,,12,9,20,24,20,31
31776027,8,12,8,,6,10,8,2,10,,19,30
31705456,11,8,13,6,7,10,10,9,26,21,23,33
31778030,4,10,10,4,,8,4,,12,,11,11
31701124,11,15,13,8,7,18,14,15,25,25,29,32
31711812,12,15,19,6,8,9,9,11,28,24,28,32
31732895,8,12,14,6,7,11,10,8,25,,22,29
31735002,13,17,16,,8,18,13,12,29,24,28,38
31780954,5,10,8,4,,11,5,,13,10,,24
31710883,6,9,9,4,5,9,6,7,14,13,,18
31742718,12,14,16,8,8,16,10,,25,25,31,
31769570,,7,7,5,,,5,7,22,14,19,18
31708366,9,13,13,7,7,13,10,10,24,20,19,28
31763375,10,13,13,,,,10,10,23,21,21,30
31709300,11,,14,6,5,13,10,11,18,14,20,33
31730116,11,14,15,7,7,14,,11,25,22,25,32
31797814,6,8,10,4,4,8,4,7,22,12,13,25
31767761,10,,13,8,,15,10,9,26,18,24,31
31721931,12,13,14,8,6,12,11,8,21,,21,
31737730,6,7,10,4,,7,7,6,12,,14,20
31724841,7,12,10,4,6,9,9,8,,19,,26
31753183,5,6,8,4,4,7,6,7,,11,,
31730515,6,9,9,4,4,8,6,5,14,10,16,17
31729134,10,,13,7,8,,9,11,24,24,20,35
31717675,8,10,12,5,4,10,6,7,,,14,17
31720970,7,11,10,5,6,8,,,17,17,18,
31732682,7,10,8,,3,6,6,6,13,12,20,20
31739032,10,13,13,5,7,12,9,,25,17,22,28
31783848,9,13,,5,4,12,9,8,19,19,15,25
31728596,8,15,16,5,6,11,10,9,20,27,21,29
31760503,9,17,,7,7,13,,6,18,24,15,32
31732216,10,11,,7,,,9,9,22,17,22,31
31725600,9,13,12,6,6,12,9,10,20,19,22,28
31702767,7,,12,4,4,8,7,7,18,13,,18
31747604,5,5,5,3,2,6,3,2,9,8,9,9
31708056,7,11,11,4,5,8,8,10,,13,11,
31726984,4,6,5,,3,6,4,4,9,8,10,12
31756808,3,6,7,3,4,5,5,4,11,,8,6
31754530,6,8,9,,5,10,6,7,14,14,16,22
31777406,,,17,8,7,9,10,,23,19,23,29
31729401,13,17,16,6,7,,10,10,25,19,25,37
31734278,,15,15,8,,13,11,11,,25,24,33
31744265,9,10,12,7,5,9,10,8,17,21,18,26
31796020,10,11,13,6,,,8,9,22,17,20,27
31727220,4,6,3,3,2,,0,6,11,,5,
31710476,7,12,,4,5,11,7,8,22,15,,22
31764681,8,12,12,6,5,13,9,9,24,,22,28
31756441,9,10,11,7,7,10,9,7,16,20,20,25
31775322,10,13,,8,7,14,10,9,,,25,31
31722008,8,10,9,,6,12,7,,19,15,17,26
31779654,,12,10,7,5,8,9,6,18,17,16,23
31700500,,6,8,3,3,,6,5,16,14,14,
31725220,7,9,8,4,5,7,6,6,13,15,16,20
31795722,5,7,,4,5,7,5,7,13,12,,14
31743064,,19,16,8,9,18,14,10,,27,,35
31718590,6,7,8,4,4,7,5,6,14,,,16
31705774,,,12,6,6,13,10,10,21,18,22,
31715160,7,,11,5,5,12,9,11,,16,20,21
31741401,13,17,,,7,13,,10,24,21,23,33
31741150,12,13,16,7,7,18,,13,28,23,27,35
31773141,7,7,8,5,,10,6,,16,16,15,
31705871,,15,17,6,7,12,11,10,,20,26,32
31732224,11,16,13,7,6,,,13,29,21,,33
31708420,9,13,15,8,7,13,9,12,,22,27,
31780725,11,15,15,8,7,15,11,12,26,24,25,34
31717624,11,,16,8,7,15,12,12,,22,30,32
31747760,8,12,13,6,7,10,11,9,21,,21,
31707874,7,13,14,,7,14,11,11,,17,23,
31777503,,14,,5,5,14,8,6,18,21,21,25
31700667,7,10,8,5,4,9,8,7,13,12,21,18
31712560,10,14,13,7,6,14,8,9,21,18,20,27
31741142,10,12,16,8,7,12,14,13,27,21,24,36
31710786,7,10,10,6,5,10,8,9,18,16,20,24
31707548,,8,13,6,6,8,7,9,18,15,20,27
31761992,10,14,13,7,7,14,8,10,28,21,16,28
31771211,10,14,14,6,,13,9,8,22,22,22,28
31740243,5,4,8,2,5,8,3,4,13,11,9,20
31731732,,8,8,6,6,10,7,10,14,13,19,
31714420,10,9,,6,6,,11,10,21,,19,31
31786502,6,10,11,4,4,5,7,5,10,12,18,25
31754503,12,14,13,7,6,16,12,,35,,30,35
31779204,5,7,7,4,,,5,5,12,,10,18
31794203,7,7,7,2,4,10,6,6,16,14,10,19
31744020,5,7,6,4,4,,6,4,,,14,16
31748600,9,12,,6,6,,8,8,23,19,21,31
31737350,8,11,11,6,6,11,9,8,20,,,24
31703895,7,11,10,,,8,8,10,,17,15,11
31796516,7,11,,4,6,,8,8,14,17,,22
31768652,11,14,13,6,,13,12,13,,21,23,35
31774733,10,15,15,8,6,13,11,11,25,21,26,
31751563,7,11,9,5,6,12,,8,21,19,,24
31739040,11,16,,9,9,15,12,,30,25,,38
31737382,,4,4,3,2,4,,,6,4,6,6
31755364,13,18,12,9,9,16,,14,32,24,31,45
31790984,9,16,17,7,8,16,10,12,24,19,25,32
31739970,7,9,11,6,,12,11,,23,,28,29
31734588,9,10,10,6,6,12,8,7,17,15,20,23
31712827,10,13,13,7,7,14,9,10,23,,25,29
31755232,9,11,11,5,5,13,,8,19,13,20,27
31752918,10,18,12,9,7,,,12,28,,23,33
31732623,9,,12,,6,13,9,7,21,15,20,28
31703313,7,,10,5,,9,9,8,,15,13,26
31709478,11,14,13,7,,14,,9,28,22,21,33
31722687,13,19,17,,10,16,13,12,35,24,32,44
31790828,5,5,4,,3,5,3,3,,10,5,9
31775519,,11,10,5,5,9,,6,21,,18,25
31743350,6,10,13,6,6,,5,8,18,16,16,19
31788564,,12,14,6,6,15,10,8,24,19,21,29
31786308,15,17,20,,,15,15,9,35,22,24,45
31726372,,6,,4,5,8,6,6,13,7,14,13
31785379,6,8,10,5,4,12,9,8,16,13,18,22
31757626,10,12,,7,6,,,9,15,18,21,24
31758924,12,13,13,6,7,,12,13,,,27,38
31711693,,,13,6,7,,10,10,23,20,24,30
31762700,6,10,10,5,5,9,7,8,19,16,18,18
31768717,8,10,10,5,,11,8,8,18,15,18,23
31777368,5,10,11,6,4,9,,8,17,15,20,29
31760767,6,9,8,4,4,8,6,6,14,12,13,18
31770681,8,9,8,3,,6,4,9,13,12,16,14
31733107,9,12,11,5,6,13,8,8,23,16,19,23
31759157,7,11,8,7,5,11,6,6,16,15,19,24
31704320,10,13,12,7,7,12,9,9,,22,19,28
31737218,10,14,9,7,5,16,8,11,28,19,27,33
31720625,6,8,8,4,4,8,6,7,13,13,15,
31755216,13,,15,7,7,13,,11,34,,31,25
31728170,10,8,,6,5,11,,10,16,13,22,19
31734065,8,10,12,6,5,11,8,,23,18,17,25
31791190,5,8,10,6,3,7,6,,13,,23,24
31711383,7,12,11,,4,10,,8,,19,22,24
31769462,6,15,13,4,4,8,9,9,13,,24,28
31748767,10,14,14,7,7,,10,,23,21,23,31
31738281,12,16,17,7,,17,12,13,29,,30,32
31772080,,12,12,6,6,,6,,22,19,18,17
31794548,13,15,17,,8,16,13,12,29,25,,35
31743897,10,12,,6,6,11,10,9,,,22,29
31703283,3,4,5,2,2,4,3,3,7,7,7,8
31784216,6,8,7,3,3,7,5,7,14,12,13,23
31719937,12,,16,7,6,17,13,10,27,19,18,33
31729444,8,12,12,6,5,11,9,8,18,15,18,22
31704492,4,8,8,2,4,6,,1,5,,14,
31714463,5,6,5,,4,10,5,7,8,8,15,19
31728006,10,,14,,6,9,8,9,24,15,,27
31751008,5,7,6,4,3,5,6,6,11,14,17,15
31760430,12,13,14,7,,9,,9,21,26,,29
31763243,7,14,13,6,6,,7,10,,19,20,27
31724264,11,,15,,7,17,13,,26,20,24,36
31776345,9,13,12,6,5,12,8,8,21,17,21,26
31707394,12,16,15,8,8,16,12,12,26,26,,
31749461,7,9,9,4,,9,6,7,16,13,16,21
31765769,8,15,12,4,8,13,8,9,22,17,21,29
31722997,6,9,11,7,,8,10,10,18,,,19
31723910,7,10,7,5,4,10,7,6,12,,14,12
31744354,9,11,10,5,5,10,7,5,15,14,13,22
31760058,8,11,,,,13,9,8,17,18,20,26
31750885,,5,5,1,2,5,,0,10,4,7,4
31717260,12,13,13,,7,12,11,9,25,22,25,31
31779115,5,9,12,7,4,,6,5,,13,,22
31731724,,9,8,4,7,,7,8,21,11,24,23
31719198,11,,13,9,8,17,12,11,26,23,29,29
31768725,8,13,10,6,7,12,11,8,24,17,22,28
31794710,13,,17,5,6,10,10,10,23,,22,29
31745652,15,15,12,10,7,11,14,11,29,26,29,26
31705936,10,15,15,,8,13,9,12,28,25,27,33
31726437,,15,14,7,7,14,11,11,25,22,26,33
31701442,8,11,9,5,5,10,,7,,14,19,25
31723527,10,11,12,7,6,11,10,9,,17,23,28
31796184,10,15,13,6,6,12,10,10,20,22,26,33
31775985,9,12,11,6,6,12,9,7,23,17,24,
31765513,9,12,13,5,6,11,7,9,23,20,20,22
31765696,10,,13,7,7,14,10,,,20,24,30
31774091,,13,13,7,7,12,10,9,27,21,24,32
31787266,9,,13,6,6,14,10,10,18,15,,29
31750524,7,20,12,8,5,,10,8,22,22,,
31708528,5,6,6,,3,8,,6,,13,16,16
31720951,11,15,16,,9,16,,12,29,23,28,32
31740685,5,6,7,3,3,6,5,,9,9,10,14
31715109,14,19,16,8,7,19,,13,30,26,32,41
31755909,,12,12,,7,9,8,7,,17,19,26
31736149,12,18,16,9,,18,15,13,,28,27,40
31773397,13,,12,8,,13,10,12,27,25,22,34
31765710,11,13,16,6,7,16,11,11,24,21,28,
31707440,,,13,6,6,13,10,,22,20,23,29
31734154,9,12,11,6,7,14,9,9,21,18,15,24
31783635,6,11,7,4,6,10,6,7,11,13,17,16
31777945,6,9,8,5,4,9,7,7,15,13,15,19
31732828,7,9,12,6,6,7,8,7,21,17,21,25
31791387,,14,14,7,6,12,,10,26,19,24,
31772781,9,9,8,5,6,10,9,9,20,18,19,23
31742785,10,16,16,8,7,14,10,,21,21,22,27
31787630,9,10,6,6,,10,10,7,20,18,17,24
31770940,12,15,14,7,8,14,12,11,26,19,26,31
31709133,7,8,9,4,5,10,8,7,18,14,20,18
31748384,8,12,7,5,4,10,7,8,18,14,,
31740588,9,11,13,7,6,12,9,9,,19,24,26
31757804,5,6,9,4,4,8,6,5,14,11,15,17
31730159,,11,10,6,5,11,9,9,18,17,17,24
31700430,7,8,10,,6,,8,7,20,14,13,22
31766390,8,10,11,5,,12,6,8,,,17,26
31712789,8,10,9,5,5,,8,8,,16,19,23
31772676,9,12,,6,4,8,10,7,,24,16,
31743830,8,13,9,5,6,12,7,7,19,18,22,27
31730973,12,18,,8,9,,13,11,26,30,28,41
31793517,9,12,11,6,5,11,,9,26,18,16,23
31728367,10,11,14,6,6,10,9,7,22,19,20,29
31773400,7,,15,6,,12,,10,20,17,28,26
31764924,9,15,15,7,5,15,,9,,21,22,24
31772838,8,,12,5,6,11,8,9,21,16,22,24
31705812,5,9,8,5,4,7,7,4,3,13,20,15
31779255,10,13,11,6,6,12,9,,24,19,18,21
31716760,,12,12,6,6,12,9,,21,17,23,32
31756298,12,17,17,8,,17,13,11,27,,32,34
31793142,5,8,9,,4,7,7,3,,17,,17
31735096,12,16,16,8,8,16,,13,,24,,34
31774140,,,13,6,7,14,11,11,27,20,,33
31773710,8,10,10,8,7,15,8,9,20,17,19,24
31744885,10,13,14,7,7,15,11,,23,,22,26
31727662,9,12,12,6,6,12,9,9,22,19,21,28
31763391,13,,17,8,6,13,12,11,,18,30,35
31783597,9,9,15,7,6,15,7,11,23,22,23,32
31727034,7,8,10,5,5,9,10,8,,13,22,27
31724140,6,9,12,6,5,9,7,7,19,20,17,23
31754384,6,12,9,4,5,,8,9,18,22,,31
31738044,11,14,15,8,7,15,11,10,26,19,28,32
31759990,10,13,13,6,6,14,9,10,24,21,26,33
31797652,11,12,13,4,7,15,8,9,24,11,28,24
31734138,7,8,8,,4,8,6,5,12,13,,15
31707823,9,12,11,6,8,14,12,7,27,15,,28
31722760,8,14,11,,,13,,13,25,22,28,28
31743366,7,9,8,5,5,9,6,7,14,11,17,21
31723470,,,9,4,4,7,6,6,12,11,14,17
31758991,,9,14,6,,13,10,7,18,17,15,25
31767810,7,9,11,5,5,9,8,8,,14,18,22
31731147,9,13,,6,6,11,10,9,15,18,22,27
31716970,13,17,18,8,9,16,13,13,29,25,32,37
31797997,10,15,16,8,7,15,12,11,24,21,27,36
31748074,9,11,11,6,5,10,9,8,22,18,17,25
31719562,8,11,10,5,5,12,9,8,24,19,23,27
31728448,,12,12,,,11,8,7,17,15,19,23
31781853,10,,,6,6,10,9,,16,15,18,17
31745687,6,10,9,5,5,10,7,7,20,14,18,21
31732011,11,17,17,8,8,16,12,12,,,27,33
31743110,7,10,9,3,4,7,6,7,16,12,16,22
31728898,6,,8,4,,6,,4,19,17,15,19
31705270,9,11,11,6,6,7,9,8,18,15,17,30
31763057,8,10,11,5,5,12,,,,16,21,23
31760635,11,14,14,6,7,13,11,12,17,17,21,25
31775624,10,12,11,6,4,14,7,8,22,18,19,22
31705731,,19,16,9,8,15,11,12,32,26,26,38
31745091,8,10,8,5,3,11,5,7,19,13,17,18
31719899,9,12,16,6,7,14,7,9,23,17,,
31720773,9,11,11,6,5,10,8,8,21,17,19,25
31745393,8,6,8,5,4,9,5,6,16,14,13,19
31753523,9,9,,5,,8,6,9,18,16,15,
31747752,7,9,,5,4,11,9,8,17,17,,23
31791174,9,10,,5,5,10,6,,18,16,,24
31734863,8,8,15,5,7,,,5,19,17,,31
